node_id:ID,name,level:int,parent_id,course_name,:LABEL
1695022436858335232,集合与映射,1,,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460289,集合,2,1695022436858335232,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460290,集合的定义,3,1695022365928460289,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460291,集合的运算,3,1695022365928460289,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460292,映射,2,1695022436858335232,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460293,映射的定义,3,1695022365928460292,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460294,映射的分类,3,1695022365928460292,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460295,函数,2,1695022436858335232,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460296,函数的定义,3,1695022365928460295,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460297,函数的表示方法,3,1695022365928460295,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460298,函数的运算,3,1695022365928460295,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460299,函数的基本特征,3,1695022365928460295,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460300,反函数,3,1695022365928460295,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460301,初等函数,3,1695022365928460295,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460302,集合的势与可数集,2,1695022436858335232,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460303,A与B等价,3,1695022365928460302,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460304,数集的分类,3,1695022365928460302,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460305,势的常识,3,1695022365928460302,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460306,确界存在定理,2,1695022436858335232,北京航空航天大学·工科数学分析·上,KnowledgePoint
1695022365928460307,集合的界,3,1695022365928460306,北京航空航天大学·工科数学分析·上,KnowledgePoint
